postcode,dwelling,rent_2016,rent_2021,rent_change_abs,rent_change_pct,income_2016,income_2021,afford_2016,afford_2021,afford_change,bonds_2016,bonds_2021,thin_data,locality,region,lat,long
4556,Flat 2,350.0,445.0,95.0,27.1,1384,1687,25.3,26.4,1.1,104,49,N,BUDERIM,Sunshine Coast,-26.700379,153.049784
4557,Flat 2,340.0,460.0,120.0,35.3,1410,1730,24.1,26.6,2.5,105,67,N,MOOLOOLABA,Sunshine Coast,-26.686321,153.113416
4558,Flat 2,360.0,472.0,112.0,31.1,1093,1384,32.9,34.1,1.2,185,136,N,COTTON TREE,Sunshine Coast,-26.655067,153.075373
4559,Flat 2,320.0,300.0,-20.0,-6.2,1372,1785,23.3,16.8,-6.5,7,5,Y,DIDDILLIBAH,Sunshine Coast,-26.66324,152.965013
4560,Flat 2,267.0,355.0,88.0,33.0,1158,1415,23.1,25.1,2.0,42,36,N,BLI BLI,Sunshine Coast,-26.635087,152.917384
4561,Flat 2,277.0,380.0,103.0,37.2,1422,1848,19.5,20.6,1.1,6,11,Y,BRIDGES,Sunshine Coast,-26.531487,152.964814
4564,Flat 2,350.0,450.0,100.0,28.6,1269,1495,27.6,30.1,2.5,50,27,N,MARCOOLA,Sunshine Coast,-26.612359,153.079239
4566,Flat 2,390.0,580.0,190.0,48.7,1152,1399,33.9,41.5,7.6,39,17,N,MUNNA POINT,Sunshine Coast,-26.411731,153.047416
4567,Flat 2,400.0,577.0,177.0,44.2,1373,1833,29.1,31.5,2.4,50,40,N,CASTAWAYS BEACH,Sunshine Coast,-26.408596,153.096957
4570,Flat 2,210.0,250.0,40.0,19.0,974,1169,21.6,21.4,-0.2,43,25,N,AMAMOOR,Wide Bay,-26.153831,152.616943
4572,Flat 2,360.0,500.0,140.0,38.9,1377,1682,26.1,29.7,3.6,55,29,N,ALEXANDRA HEADLAND,Sunshine Coast,-26.671589,153.101997
4573,Flat 2,360.0,480.0,120.0,33.3,1378,1771,26.1,27.1,1.0,44,35,N,COOLUM BEACH,Sunshine Coast,-26.516942,153.068303
4575,Flat 2,405.0,500.0,95.0,23.5,1361,1696,29.8,29.5,-0.3,101,93,N,BIRTINYA,Sunshine Coast,-26.742043,153.119478
4581,Flat 2,270.0,300.0,30.0,11.1,908,1006,29.7,29.8,0.1,8,5,Y,EURONG,Wide Bay,-25.990771,153.097862
4650,Flat 2,210.0,230.0,20.0,9.5,914,1035,23.0,22.2,-0.8,40,30,N,ALDERSHOT,Wide Bay,-25.640978,152.791302
4655,Flat 2,260.0,330.0,70.0,26.9,929,1109,28.0,29.8,1.8,141,73,N,BOORAL,Wide Bay,-25.337998,152.78368
4670,Flat 2,225.0,270.0,45.0,20.0,1003,1194,22.4,22.6,0.2,184,130,N,ABBOTSFORD,Wide Bay,-24.88776,152.297855
4680,Flat 2,150.0,250.0,100.0,66.7,1716,1746,8.7,14.3,5.6,236,142,N,BARMUNDU,Fitzroy,-23.446826,151.917285
4700,Flat 2,250.0,300.0,50.0,20.0,1188,1403,21.0,21.4,0.4,56,47,N,ALLENSTOWN,Fitzroy,-23.180174,150.958111
4701,Flat 2,202.0,260.0,58.0,28.7,1282,1496,15.8,17.4,1.6,130,95,N,BERSERKER,Fitzroy,-23.354937,150.557538
4703,Flat 2,270.0,350.0,80.0,29.6,1272,1636,21.2,21.4,0.2,69,35,N,ADELAIDE PARK,Fitzroy,-23.074563,150.894331
4717,Flat 2,125.0,190.0,65.0,52.0,2184,2358,5.7,8.1,2.4,6,13,Y,BLACKWATER,Fitzroy,-23.632816,148.891333
4720,Flat 2,170.0,272.0,102.0,60.0,1895,2203,9.0,12.3,3.3,56,48,N,EMERALD,Fitzroy,-23.68492,148.187851
4737,Flat 2,180.0,250.0,70.0,38.9,1367,1650,13.2,15.2,2.0,22,11,N,ARMSTRONG BEACH,Mackay,-21.43004,149.178072
4740,Flat 2,200.0,320.0,120.0,60.0,1442,1839,13.9,17.4,3.5,247,243,N,ALEXANDRA,Mackay,-21.33763,149.059737
4744,Flat 2,280.0,332.0,52.0,18.6,2421,3079,11.6,10.8,-0.8,15,16,N,MORANBAH,Mackay,-22.018392,148.045134
4751,Flat 2,250.0,350.0,100.0,40.0,1728,2156,14.5,16.2,1.7,7,7,Y,GREENMOUNT,Mackay,-21.221858,149.040703
4802,Flat 2,262.0,360.0,98.0,37.4,1347,1622,19.5,22.2,2.7,100,74,N,AIRLIE BEACH,Mackay,-20.271072,148.989038
4805,Flat 2,227.0,280.0,53.0,23.3,1090,1344,20.8,20.8,0.0,38,19,N,BINBEE,Mackay,-20.016612,148.457987
4807,Flat 2,200.0,240.0,40.0,20.0,1180,1353,16.9,17.7,0.8,19,28,N,AIRDMILLAN,Townsville,-19.914965,147.133033
4810,Flat 2,265.0,310.0,45.0,17.0,1357,1610,19.5,19.3,-0.2,333,235,N,BELGIAN GARDENS,Townsville,-19.227783,146.764659
4811,Flat 2,350.0,350.0,0.0,0.0,1512,1807,23.1,19.4,-3.7,62,63,N,CLUDEN,Townsville,-19.323109,146.840325
4812,Flat 2,200.0,275.0,75.0,37.5,1114,1352,18.0,20.3,2.3,169,131,N,CURRAJONG,Townsville,-19.286635,146.787716
4814,Flat 2,250.0,290.0,40.0,16.0,1488,1717,16.8,16.9,0.1,88,45,N,AITKENVALE,Townsville,-19.285821,146.754745
4815,Flat 2,220.0,280.0,60.0,27.3,1283,1486,17.1,18.8,1.7,18,9,Y,CONDON,Townsville,-19.372329,146.707586
4817,Flat 2,237.0,280.0,43.0,18.1,1588,1866,14.9,15.0,0.1,26,21,N,ALICE RIVER,Townsville,-19.310498,146.652307
4819,Flat 2,220.0,330.0,110.0,50.0,851,1001,25.9,33.0,7.1,17,6,Y,ARCADIA,Townsville,-19.143944,146.831766
4868,Flat 2,260.0,300.0,40.0,15.4,1350,1554,19.3,19.3,0.0,78,47,N,BAYVIEW HEIGHTS,Cairns,-16.993753,145.729193
4869,Flat 2,250.0,302.0,52.0,20.8,1433,1745,17.4,17.3,-0.1,21,12,N,BENTLEY PARK,Cairns,-17.025592,145.730423
4870,Flat 2,295.0,350.0,55.0,18.6,1275,1510,23.1,23.2,0.1,520,376,N,AEROGLEN,Cairns,-16.923761,145.742303
4873,Flat 2,237.0,272.0,35.0,14.8,1078,1218,22.0,22.3,0.3,10,10,N,BAILEY CREEK,Cairns,-16.230854,145.299094
4877,Flat 2,320.0,380.0,60.0,18.8,1274,1426,25.1,26.6,1.5,65,33,N,CRAIGLIE,Cairns,-16.535286,145.467604
4878,Flat 2,287.0,360.0,73.0,25.4,1324,1555,21.7,23.2,1.5,76,62,N,BARRON,Cairns,-16.839378,145.711531
4879,Flat 2,317.0,380.0,63.0,19.9,1470,1701,21.6,22.3,0.7,126,75,N,BUCHAN POINT,Cairns,-16.789777,145.666474
4880,Flat 2,240.0,270.0,30.0,12.5,1054,1304,22.8,20.7,-2.1,43,21,N,ARRIGA,Queensland - Outback,-17.0488028,145.2931511
4883,Flat 2,245.0,270.0,25.0,10.2,993,1153,24.7,23.4,-1.3,34,22,N,ATHERTON,Cairns,-17.33327,145.476659
